mode max|phi_cambala-phi_ref|/max|phi_ref| max|phi_cambala-phi_ref| max|phi_ref| 
0 0.000049 0.000005 0.104810 
1 0.106099 0.012233 0.115295 
2 0.049093 0.004700 0.095732 
3 0.031680 0.002651 0.083686 
4 0.024695 0.001860 0.075311 
5 0.022037 0.001522 0.069050 
6 0.001141 0.000061 0.053516 
7 0.000616 0.000033 0.053495 
