mode max|phi_cambala-phi_ref|/max|phi_ref| max|phi_cambala-phi_ref| max|phi_ref| 
0 0.000148 0.000023 0.156420 
1 0.108368 0.012348 0.113942 
2 0.050689 0.004787 0.094444 
3 0.032658 0.002697 0.082581 
4 0.025462 0.001894 0.074367 
5 0.022724 0.001551 0.068238 
6 0.001158 0.000062 0.053266 
7 0.000607 0.000032 0.053124 
