30	4.9164151	-1	-1	-1	-1
32	4.8941836	-1	-1	-1	-1
34	4.8760538	-1	-1	-1	-1
36	4.863225	-1	-1	-1	-1
38	4.8606633	-1	-1	-1	-1
40	4.8486735	-1	-1	-1	-1
42	4.8392121	-1	-1	-1	-1
44	4.8390705	-1	-1	-1	-1
46	4.8303854	-1	-1	-1	-1
48	4.82279	-1	-1	-1	-1
50	4.8160898	-1	-1	-1	-1
52	4.8101466	-1	-1	-1	-1
54	4.806175	-1	-1	-1	-1
56	4.8062837	5.0536539	-1	-1	-1
58	4.8015399	5.0401948	-1	-1	-1
60	4.7972773	5.0185956	-1	-1	-1
62	4.7934086	5.0022082	-1	-1	-1
64	4.7900754	4.9936355	-1	-1	-1
66	4.7898081	4.9771468	-1	-1	-1
68	-1	4.9622095	-1	-1	-1
70	-1	4.9496945	-1	-1	-1
72	-1	4.9454632	-1	-1	-1
74	-1	4.9335745	-1	-1	-1
76	-1	4.9226676	-1	-1	-1
78	-1	4.9126336	-1	-1	-1
80	-1	4.9033787	-1	-1	-1
82	-1	4.8948214	-1	-1	-1
84	-1	4.8868917	-1	-1	-1
86	-1	4.8840906	-1	-1	-1
88	-1	4.8787416	5.1293194	-1	-1
90	-1	4.8720604	5.1200793	-1	-1
92	-1	4.8658191	5.1014656	-1	-1
94	-1	4.8599783	5.0841915	-1	-1
96	-1	4.8545029	5.0748716	-1	-1
98	-1	4.8493616	5.0621833	-1	-1
100	-1	4.8445264	5.0477757	-1	-1
102	-1	4.8399722	5.0343027	-1	-1
104	-1	4.8356765	5.0258725	-1	-1
106	-1	4.8316201	5.0174614	-1	-1
108	-1	4.8277834	5.0060087	-1	-1
110	-1	4.8241498	4.9952319	-1	-1
112	-1	4.8207042	4.9850768	-1	-1
114	-1	4.817433	4.9768112	-1	-1
116	-1	4.8143237	4.9727171	-1	-1
118	-1	4.8113651	4.96391	-1	-1
120	-1	4.8085467	4.9555697	5.1711027	-1
122	-1	4.8058592	4.9476624	5.1611164	-1
124	-1	4.8032938	4.9401573	5.1454021	-1
126	-1	4.800843	4.9330272	5.1307049	-1
