0               1               2               3               4               5
1702            1696            1692            1706            1766            1800
1716            1724            1739            1790            1800            1800
6999            7011            7022            7031            7038            7047
6997            7007            7017            7025            7036            7045
1.88            2.22            2.72            3.2             3.5             3.5
1.68            1.9             2.28            2.72            3.5             3.5
1.43365e-07     1.57328e-07     2.29705e-07     3.18169e-07     4.09604e-07     5.13922e-07
0.00345031      0.00381031      0.00546745      0.00750937      0.00984981      0.0126153
