0               1               2               3               4               5               6               7               8               9               10
1702            1700            1701            0               1698            1693            1693            1691            1683            1679            1674
1716            1714            1721            0               1709            1715            1715            1712            1703            1690            1683
6999            7000            7000            0               7002            7004            7005            7007            7010            7013            7016
6997            6998            6997            0               7001            7001            7002            7005            7008            7012            7015
1.88            1.92            1.96            0               1.98            2.08            2.08            2.14            2.3             2.38            2.62
1.68            1.74            1.7             0               1.9             1.86            1.86            2               2.2             2.42            2.7
1.43365e-07     1.41234e-07     1.46468e-07     0               1.44422e-07     1.55633e-07     1.60079e-07     1.73022e-07     1.8286e-07      1.97113e-07     2.14832e-07
0.00345031      0.00381236      0.00352247      0               0.00274048      0.00304865      0.0031296       0.00371956      0.00391401      0.00405637      0.00461677
