20	2.4584	2.7971	-1	-1	-1
25	2.4396	2.6892	-1	-1	-1
30	2.4282	2.5986	-1	-1	-1
35	2.4208	2.5431	2.8465	-1	-1
40	2.4157	2.5072	2.736	-1	-1
45	2.4122	2.4824	2.6574	2.9453	-1
50	2.4097	2.4646	2.6026	2.8482	-1
55	2.4079	2.4513	2.563	2.7586	2.9336
60	2.4066	2.4412	2.5335	2.6916	2.9381
65	2.4057	2.4332	2.5108	2.6412	2.8472
70	2.4051	2.427	2.493	2.6024	2.7732
75	2.4047	2.422	2.4786	2.572	2.7153
80	2.4044	2.418	2.4668	2.5475	2.6696
85	2.4042	2.4148	2.457	2.5276	2.6329
90	2.404	2.4123	2.4488	2.5111	2.6029
95	2.404	2.4104	2.4418	2.4973	2.5781
100	2.4039	2.4089	2.4358	2.4856	2.5574
