380	0.015903408552 0.031041533951 0.044614871060 0.055804857661 0.063798366185 0.067281923275 0.004686832132 0.009414996177 
378	0.016019388107 0.031261712163 0.044914389654 0.056144827705 0.064123848846 0.067448907254 0.004716489783 0.009210766078 
376	0.016136801784 0.031484633517 0.045217645618 0.056488948128 0.064452761803 0.067603976800 0.004794318417 0.009102399493 
374	0.016255674481 0.031710346221 0.045524705099 0.056837288976 0.064785128932 0.067743913866 0.004924723574 0.009085541151 
372	0.016376031964 0.031938900654 0.045835636409 0.057189922029 0.065120971249 0.067864444249 0.005115225669 0.009160158422 
370	0.016497900322 0.032170347446 0.046150508733 0.057546920038 0.065460306479 0.067959756672 0.005377530101 0.009330608239 
368	0.016621306269 0.032404738215 0.046469392883 0.057908357303 0.065803148519 0.068021725037 0.005729385291 0.009606193831 
366	0.016746277359 0.032642125855 0.046792361431 0.058274309453 0.066149506913 0.068038590311 0.006197797701 0.010002329982 
364	0.016872841457 0.032882566405 0.047119489298 0.058644853924 0.066499386193 0.067992596183 0.006824798732 0.010542577435 
362	0.017001027437 0.033126114125 0.047450851957 0.059020069109 0.066852784840 0.067855438561 0.007678280850 0.011262015385 
360	0.017130864500 0.033372826400 0.047786527225 0.059400035032 0.067209694573 0.067578689779 0.008873746718 0.012212808801 
358	0.017261451213 0.033615485308 0.048103081490 0.059732745574 0.067478029781 0.066940908628 0.010599917428 0.013445410627 
356	0.017393736892 0.033861325838 0.048423773491 0.060069621167 0.067748558249 0.065879723372 0.013283436606 0.015101553261 
354	0.017527752858 0.034110405582 0.048748679824 0.060410732972 0.068021228384 0.063893992757 0.017813004226 0.017365002975 
352	0.017663531004 0.034362786149 0.049077880044 0.060756153739 0.068295976778 0.059356515195 0.026134796412 0.020521675474 
350	0.017801104129 0.034618530101 0.049411455385 0.061105957342 0.068572726260 0.051266195096 0.040015073872 0.024988219957 
348	0.017940505848 0.034877700895 0.049749488614 0.061460218738 0.068851383640 0.033416668002 0.049648740185 0.031203288040 
346	0.018081770427 0.035140364266 0.050092065011 0.061819014393 0.069131837025 0.019578469225 0.049217965426 0.038949285489 
344	0.018224933138 0.035406587374 0.050439271645 0.062182421735 0.069413952550 0.013779657488 0.042473512658 0.046109818796 
342	0.018370029925 0.035676438946 0.050791197820 0.062550519469 0.069697570595 0.010916316897 0.033289343883 0.049921295418 
340	0.018517097950 0.035949989538 0.051147934997 0.062923387386 0.069982501032 0.009012152278 0.025907702929 0.049816844821 
338	0.018666174877 0.036227311604 0.051509577049 0.063301106510 0.070268517574 0.007660965735 0.020848194266 0.046386315649 
